command	class	provider	default_action
curl	http	generic-http	retrieve
dig	resolver	dns	retrieve
git	git	git	execute
gh	repository	github	retrieve
stripe	payments	stripe	retrieve
hf	ai	huggingface	retrieve
nats	messaging	nats	retrieve
wg	network	wireguard	observe
headscale	overlay	headscale	observe
tailscale	overlay	tailscale	observe
gddy	domains	godaddy	retrieve
bw	secrets	bitwarden	observe
wrangler	cloud	cloudflare	retrieve
bun	package	bun	execute
brew	package	homebrew	execute
pnpm	package	pnpm	execute
npm	package	npm	execute
jq	json	local	observe
ollama	ai	ollama	retrieve
claude	ai	anthropic	retrieve
codex	ai	openai	retrieve
doctl	cloud	digitalocean	retrieve
cloudflared	overlay	cloudflare	observe
tea	repository	forgejo	retrieve
ssh	network	ssh	execute
clerk	identity	clerk	retrieve
keycloak	identity	keycloak	retrieve
reticulum	network	reticulum	observe
